Identifier	Character	Dialogue	Filename	Line Number
c3_fe6f252e		这三个丫头是真的厉害，各种意义上的厉害我都不知道该怎么评价她们。	game/scripts/chapter3.rpy	336
c3_9b7f6523		反倒是夏静所说的‘鬼’我很感兴趣。	game/scripts/chapter3.rpy	337
c3_e8aae590		我记得这个世界人的说法‘鬼’其实就是灵魂而已…..	game/scripts/chapter3.rpy	338
c3_76b584ec		灵魂….鬼…	game/scripts/chapter3.rpy	339
c3_18dadc68		嗯…..	game/scripts/chapter3.rpy	340
c3_0b2d3aeb		鬼？灵魂？	game/scripts/chapter3.rpy	341
c3_2fe4f2c7		emmmmm…..	game/scripts/chapter3.rpy	342
c3_eaf6d473		我好像明白了什么….	game/scripts/chapter3.rpy	343
c3_2fa38ab1		…….	game/scripts/chapter3.rpy	344
c3_2fd90170_4	w	…….	game/scripts/chapter3.rpy	350
c3_6644c56c		她果然在这里。	game/scripts/chapter3.rpy	351
c3_542c89e9		我看着病房床的那边，一个半透明化的女孩子站在那里，哭得一把鼻涕一把眼泪的。	game/scripts/chapter3.rpy	352
c3_e5d17925	w	我说…袁艳。	game/scripts/chapter3.rpy	353
c3_d57370d2	w	额….	game/scripts/chapter3.rpy	354
c3_34490796	y	欸？	game/scripts/chapter3.rpy	357
c3_47385336	y	哇！！！！	game/scripts/chapter3.rpy	360
c3_562f919b		这个女孩突然就扑了过来，一阵凉风吹了过来。	game/scripts/chapter3.rpy	361
c3_a07f5755		啊…刚刚的风原来是这么回事啊。	game/scripts/chapter3.rpy	362
c3_3cd8afac		袁艳的双手从我的身体里头穿了过去，我无奈的摇了摇头。	game/scripts/chapter3.rpy	363
c3_0a3e1ad3	w	这里你是碰不到我的啦。	game/scripts/chapter3.rpy	364
c3_594d7248	w	还有你哭什么啊？	game/scripts/chapter3.rpy	365
c3_c9f119db	y	别胡说..我没哭！	game/scripts/chapter3.rpy	368
c3_98fcd70a	y	死猫！	game/scripts/chapter3.rpy	371
c3_c84359ae_3	w	……	game/scripts/chapter3.rpy	372
c3_3ae1c93d		这个丫头的嘴还是这么犟。	game/scripts/chapter3.rpy	373
c3_16d62979	w	我好歹也是猫精灵…	game/scripts/chapter3.rpy	374
c3_18406185	y	怎么这个时候才来…	game/scripts/chapter3.rpy	377
c3_c84359ae_4	w	……	game/scripts/chapter3.rpy	378
c3_0acddc70		看着弱弱的袁艳，我反而觉得不好意思了起来。	game/scripts/chapter3.rpy	379
c3_914134fb	w	不…不好意思，我来晚了。	game/scripts/chapter3.rpy	380
c3_442941ca		……	game/scripts/chapter3.rpy	381
c3_8364fa10	c	猫睡着了？	game/scripts/chapter3.rpy	387
c3_2c850bdc	w	欸？	game/scripts/chapter3.rpy	388
c3_1874c6b1		房间里头程祎琳的声音响了起来。	game/scripts/chapter3.rpy	389
c3_826c6207	x	嗯？那个矮一点的鬼出现了。	game/scripts/chapter3.rpy	391
c3_6ba3e4a9	l	哈？你在说什么鬼？	game/scripts/chapter3.rpy	393
c3_811819cc	c	咿！！！！！	game/scripts/chapter3.rpy	395
c3_8dead41b		程祎琳吓得不轻。	game/scripts/chapter3.rpy	396
c3_7575a3a8	c	在…在哪里？	game/scripts/chapter3.rpy	398
c3_c643b910_1	x	…….	game/scripts/chapter3.rpy	400
c3_45f3bef5		夏静指着我和袁艳在的地面，然后若无其事的说道。	game/scripts/chapter3.rpy	401
c3_46f04620	x	就在那里一动不动。	game/scripts/chapter3.rpy	403
c3_c84359ae_5	w	……	game/scripts/chapter3.rpy	404
c3_a04b8788	y	…….	game/scripts/chapter3.rpy	413
c3_794e064e	w	！！！！！？	game/scripts/chapter3.rpy	414
c3_969a20c1	y	？？？？	game/scripts/chapter3.rpy	417
c3_b848221b		我和袁艳彼此对视了两秒钟，然后瞬间意识到了事情的严重性。	game/scripts/chapter3.rpy	418
c3_c3e08997	y	哇哇哇哇哇啊！！！我就知道她能看得见我们！	game/scripts/chapter3.rpy	421
c3_d7714d6e	w	不会吧不会吧不会吧！！！！	game/scripts/chapter3.rpy	422
c3_d53dd84f		我们两个同时抓狂了起来。	game/scripts/chapter3.rpy	423
c3_b3481949	x	啊，那两个鬼在到处晃。	game/scripts/chapter3.rpy	426
c3_be444fcd	c	咿！！！！！！	game/scripts/chapter3.rpy	429
c3_70c3de05		程祎琳再一次被吓得不行了。	game/scripts/chapter3.rpy	430
c3_badaafc7_1	w	…..	game/scripts/chapter3.rpy	431
c3_ecff0c88	w	不过等一下….	game/scripts/chapter3.rpy	432
c3_add1cdaf	y	啊？	game/scripts/chapter3.rpy	435
c3_fd33bf59	w	这事之前好像也发生过吧。	game/scripts/chapter3.rpy	436
c3_5d842eb9	w	我说我们惊讶个啥？	game/scripts/chapter3.rpy	437
c3_1370d801	y	……	game/scripts/chapter3.rpy	440
c3_36951226	y	好像确实是这样，世界上就是有能看到灵魂的人存在。	game/scripts/chapter3.rpy	443
c3_815bb499	y	再一次认识到这个事实总是有点吃惊呐。	game/scripts/chapter3.rpy	446
c3_ed017a73	w	第一次听到的时候我也很吃惊就是了。	game/scripts/chapter3.rpy	447
c3_b4a1ec80	x	啊，那两个又停下来不动了。	game/scripts/chapter3.rpy	450
c3_33ecaf8a	c	唔咿？？？！？！？	game/scripts/chapter3.rpy	453
c3_c84359ae_6	w	……	game/scripts/chapter3.rpy	454
c3_015f7455		我无语的看着另外那三人其中的两个。	game/scripts/chapter3.rpy	455
c3_0890fc76	w	不过你是怎么回事啊？	game/scripts/chapter3.rpy	456
c3_d114af40		我看着袁艳，想问问她昨天晚上到底发生了什么。	game/scripts/chapter3.rpy	457
c3_2866b32f	y	不是跟你说了吗？	game/scripts/chapter3.rpy	463
c3_c78e15df	y	我两天都没睡了吧。	game/scripts/chapter3.rpy	466
c3_2e6b92d9	w	所以呢？	game/scripts/chapter3.rpy	467
c3_534dd3ae	y	你到底懂不懂一个两天没睡的人会怎么样啊？	game/scripts/chapter3.rpy	470
c3_5202d219	w	会特别想睡觉？	game/scripts/chapter3.rpy	471
c3_3e64a1b8	y	那不是废话吗！	game/scripts/chapter3.rpy	474
c3_c84359ae_7	w	……	game/scripts/chapter3.rpy	475
c3_b0f57803	y	我是说…	game/scripts/chapter3.rpy	478
c3_50ab31b2	y	三天不睡就会死人的你懂吗。	game/scripts/chapter3.rpy	481
c3_2eac3711	y	你懂我的意思了吗？	game/scripts/chapter3.rpy	484
c3_40798998	w	好像懂了…又好像什么都没听懂。	game/scripts/chapter3.rpy	485
c3_1370d801_1	y	……	game/scripts/chapter3.rpy	488
c3_a859e28f	y	啊，算了，跟你解释实在是太费脑子了。	game/scripts/chapter3.rpy	491
c3_b1f3db31	y	你就这样保持不懂的节奏就行了。	game/scripts/chapter3.rpy	494
c3_a27dba95	y	其实我也没期待你能懂什么的。	game/scripts/chapter3.rpy	497
c3_d57370d2_1	w	额….	game/scripts/chapter3.rpy	498
c3_161aeeea	w	虽然我听不太懂你在说什么，但是总觉得你说得很过分啊喂！	game/scripts/chapter3.rpy	499
c3_44e05c2a	y	额呵呵呵….	game/scripts/chapter3.rpy	502
c3_efb12f13	y	所以你能解释一下我现在的情况吗？	game/scripts/chapter3.rpy	505
c3_3ce6690e		袁艳看了看周身，似乎现在的灵魂状态令她十分的疑惑。	game/scripts/chapter3.rpy	506
c3_9f8134d4		疑惑是很正常的。	game/scripts/chapter3.rpy	507
c3_8c7b9bc2	w	哼哼，这你就不知道了吧。	game/scripts/chapter3.rpy	508
c3_9687e877	y	我是不知道，你呢？	game/scripts/chapter3.rpy	511
c3_26520761	w	那还用说吗？	game/scripts/chapter3.rpy	512
c3_7889f2d8		我当然不知道…..	game/scripts/chapter3.rpy	513
c3_a3178bb1		虽然我自己知道答案，但是这个时候说出来会不会有点不太好。	game/scripts/chapter3.rpy	514
c3_1376f5de		看着袁艳有点将信将疑的表情…这个时候示弱的话一定会被她看不起的。	game/scripts/chapter3.rpy	515
c3_5babe77b	w	我当然是知道的啦！	game/scripts/chapter3.rpy	516
c3_512830a7	y	你知道些什么啊，倒是说来听听？	game/scripts/chapter3.rpy	519
c3_7e86ae11	w	咳咳，是这样子的…	game/scripts/chapter3.rpy	520
c3_ed0da41b	w	因为…你看诅咒发作不是只剩下几天了吗….	game/scripts/chapter3.rpy	521
c3_1e25222f	y	所以呢？	game/scripts/chapter3.rpy	524
c3_68e0d40f	w	是这样子的….	game/scripts/chapter3.rpy	525
c3_f210337f		能够明显感觉到大脑在颤抖，这就是思考的力量吗？	game/scripts/chapter3.rpy	526
c3_2c328e45	w	其实这是诅咒即将降临的预告…	game/scripts/chapter3.rpy	527
c3_add1cdaf_1	y	啊？	game/scripts/chapter3.rpy	530
c3_4263574d		袁艳歪了歪脑袋表示自己完全不懂。	game/scripts/chapter3.rpy	531
c3_b0fdd5cd	w	你的身体已经开始有预告了，诅咒开始侵犯你的身体了。	game/scripts/chapter3.rpy	532
c3_4c919121	y	…..	game/scripts/chapter3.rpy	535
c3_9e7304e6	y	虽然你说得很有道理….	game/scripts/chapter3.rpy	538
c3_a1c592de	y	但是能别说得这么恶心吗？	game/scripts/chapter3.rpy	541
c3_e1dbece8		袁艳嫌弃的裹了裹自己的衣服…衣服原来也有灵魂的吗？	game/scripts/chapter3.rpy	542
c3_1e2440d7		嘛….这倒不是重点。	game/scripts/chapter3.rpy	543
c3_70318c3d		重点是….	game/scripts/chapter3.rpy	544
